Player,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Ben Stokes,England,Left hand Bat,Right arm Fast medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319748.png","The great Irish sports writer Con Houlihan used to say that every team should have a redhead. And it's true that Ben Stokes' combative nature, allied to his powerful frame and outrageous talent, lifted England to another level. Never was that more true than when he secured his place in English cricket history with an indefatigable batting display in the 2019 World Cup final. In making an unbeaten 84 he exhausted every ounce of strength, talent and willpower and then when he imagined it might be all over he came out to bat once more to help win a Super Over by the narrowest of margins."
Kane Richardson,Australia,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321594.png","A pace bowler who has often been on the fringes of Australia's ODI and T20 teams, Kane Richardson is know for his skills at the death and has an excellent yorker. Although he has struggled to gain much traction at first-class level for South Australia, Richardson is very effective in the shorter forms and in 2019 was a late addition to the World Cup squad."
Mitchell Swepson,Australia,Right hand Bat,Legbreak,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321600/321605.png","A legspinner who can give the ball a good rip - with an increasing collection of highlight-grabbing dismissals - Mitchell Swepson was initially called into Australia's Test squad for the tour of India in early 2017 but a debut would have to wait another five years. His first selection came at a time when he had played only 14 first-class matches, but he had impressed with his wicket-taking ability in less than two full seasons of Sheffield Shield cricket. "
Soumya Sarkar,Bangladesh,Left hand Bat,Right arm Medium fast,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316685.png","A rarity among Bangladesh allrounders, top-order batter Soumya Sarkar bowls medium pace rather than spin, and occasionally even takes the new ball. "
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322638.png","Having relinquished his South African qualification to sign a contract with Leicestershire, taking advantage of an EU passport, Colin Ackermann was part of the late-2010s exodus that rocked cricket in his home country. Although less heralded at the time, Ackermann was a former South Africa U-19 who had topped the Sunfoil averages in 2016-17, and might have been in contention for a Test call-up had he not taken the well-trodden English county route."
Roelof Erasmus van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322500/322596.png",Tidy left-arm spinner and hard-hitting batter Roelof van der Merwe is one of a small set of cricketers to have represented two international teams.
Evin Lewis,West Indies,Left hand Bat,,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320000/320093.png","""I hit a lot of sixes, big sixes like him,"" Evin Lewis said when asked why he chose Chris Gayle as his mentor. For an upcoming left-handed opening batsman, especially in the modern game, that's a fairly smart pick."
Timm van der Gugten,Netherlands,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322642.png","Timm van der Gugten, born in Sydney, made his first-class debut for New South Wales in November 2011. He was called up to the Netherlands the following year for World Twenty20 in the West Indies and made his debut at 21. He also represented the Netherlands at two subsequent World Twenty20s where he has carried one of their most potent threats. "
Joshua Henry Davey,Scotland,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316676.png","Josh Davey's seam-bowling talent was recognised when Middlesex gave him his county debut at the age of 19. But, although he was involved with the county for four years, the seam-bowling allrounder failed to push on, and he was released at the end of 2013 and moved west to Somerset. "
Kasun Rajitha,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322900/322957.png","Virtually unheard of before 2015, the first inkling of right-arm seamer Kasun Rajitha's potential came during a three-dayer against the touring Indians in August of that year. He took 5 for 68 on a spicy Khettarama deck in that match, dismissing Shikhar Dhawan, Virat Kohli and Rohit Sharma in a single spell, before claiming Kohli's wicket in the second innings as well."
Lahiru Kumara,Sri Lanka,Left hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322900/322942.png","A robust, right-arm fast bowler from Kandy, Lahiru Kumara had played only eight days of first-class cricket - all of which were for the Sri Lanka A team - before he was selected in the Test squad in October 2016. He was largely picked on his promise. One of the fastest bowlers in Sri Lanka's system, Kumara possesses a sharp bouncer, and an ability to both swing and seam the ball - all allied to a bustling intensity."
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316691.png","Mohammed Shami was India's leading fast bowler in the 2015 World Cup in Australia, when the team marched into the semi-finals and picked up 77 out of 80 wickets on offer. It was later revealed that he had played through that entire tournament - and the preceding Test series against the hosts, essentially four months - through a knee injury. His success can be attributed to his pace, accuracy and primarily his skill in moving the ball - both old and new. "
Gulbadin Naib,Afghanistan,Right hand Bat,Right arm Medium fast,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316661.png","Gulbadin Naib's first love in the sporting world was amateur bodybuilding, not cricket. When he eventually did take the game up, however, he progressed quickly through Afghanistan's age group sides as a batting allrounder and was the youngest member of the team that won the Division Five tournament in 2008 - the first stepping stone to the full world stage."
Washington Sundar,India,Left hand Bat,Right arm Offbreak,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322619.png","Like R Ashwin from Tamil Nadu before him, Washington Sundar went from being a batsman as a youngster to making his name as an offspinner. After representing India at the 2016 Under-19 World Cup, he replaced Ashwin at Rising Pune Supergiant in the 2017 IPL, and bowled at an impressive economy rate to help his side to the final."
Adam Milne,New Zealand,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316689.png","Early in his career, Adam Milne, a lanky right-arm fast bowler, was spoken of as New Zealand's quickest bowler since Shane Bond but injuries disrupted his career far more than they did even Bond's. "
Faheem Ashraf,Pakistan,Left hand Bat,Right arm Medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322100/322198.png","Faheem Ashraf began his career with aspirations of fast bowling, but it is as a lower-order left-handed batsman - the good old-fashioned pinch hitter - that he has introduced himself in international cricket. He blazed away to an unbeaten 64 off 30 balls against a Bangladesh side playing its best cricket in 2016-17 to upstage them in a warm-up match just before the 2017 Champions Trophy. That innings wasn't a one-off for Ashraf, who has built a reputation for explosive hitting while batting with the tail; it especially impressed his mentor Tauseef Ahmed, who fast-tracked him to the international side."
JJ Smuts,South Africa,Right hand Bat,Slow Left arm Orthodox,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322083.png","So good they named him twice? Perhaps not yet, but Jon-Jon Smuts is an aggressive, clean-hitting opening batsman who has made a name as one of the most entertaining cricketers to watch in shorter formats. He has been a cricketer since he could see over the top of a pair of pads at the age of six, he is unusual in that he opens the batting in all three formats, and he is no mean left-arm spinner. Smuts was part of the South African squad that reached the semi-finals of the Under-19 World Cup against Pakistan in Sri Lanka in 2007-08. In fact, it was Smuts' 58 - which earned him Man-of-the-Match honours - that put the South Africans in the final, which they lost to India. Smuts was also in the South African squad that won the 2010 Emerging Players Tournament in Australia.
But it took Smuts several seasons before he was able to break through at the highest level. Despite finishing fifth in the first-class competition's batting charts in the 2011-12 season, when he averaged 43.64, Smuts positioned himself more as a limited-overs cricketer. He was third among run-scorers in the 2014-15 season's one-day cup, scoring 592 runs at 59.20 with six fifties to his name. His reputation for big hitting earned him a CPL contract in 2016. Smuts finished as the leading run-scorer in South Africa's domestic T20 competition in the 2016-17 season and was finally selected in South Africa's T20 squad to play Sri Lanka in three matches in January 2017.ESPNcricinfo staff
"
Joshua Philippe,Australia,Right hand Bat,,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321600/321602.png","Regarded as one of the brightest batting prospects in Australia, particularly in limited-overs cricket, wicketkeeper-batsman Josh Philippe was given his first taste of the international set-up for the 2020 tour of England which took place amid the Covid-19 pandemic. Philippe's call-up came on the back of an outstanding Big Bash campaign for the Sydney Sixers where he was Man of the Match in the final and finished the tournament with three half-centuries in four innings. He is a wonderful timing of the ball with the full 360-degree range of shots, his power in display during the 2019-2020 BBL when he launched a six onto the roof of the pavilion at the SCG. "
Kyle Jamieson,New Zealand,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321236.png","The first thing that strikes you about Kyle Jamieson is his height. At 6'8"", he is one of the tallest fast bowlers in the circuit. And like most people who send a cricket ball down from such awkward heights, he is known for getting awkward bounce. So much so that batsmen forget that he has a phenomenal fuller delivery. Especially when it starts to hoop in at the stumps. "
